ST_PC_CODE,ST_NAME,ST_CODE,PC_NAME,PC_CODE,CANDIDATE_NAME,ST_PC_CODE_NAME,CANDIDATE_SEX,CANDIDATE_CATEGORY,CANDIDATE_AGE,PARTY_ABB,TOTAL_VOTES_POLLED,POSITION,PARTY_NAME,MARGIN
16_2,TRIPURA,16,TRIPURA EAST,2,PARIKSHIT DEBBARMA,16_2_PARIKSHIT DEBBARMA,M,ST,53.0,BJP,60613,4,Bharatiya Janata Party,0
16_2,TRIPURA,16,TRIPURA EAST,2,None of the Above,16_2_None of the Above,0,0,0.0,NOTA,11084,5,None of the Above,0
16_2,TRIPURA,16,TRIPURA EAST,2,NARENDRA CHANDRA DEB BARMA,16_2_NARENDRA CHANDRA DEB BARMA,M,ST,72.0,IPFT,10286,6,Indigenousn People's Front Of Tripura,0
16_2,TRIPURA,16,TRIPURA EAST,2,PRABIDDHA REANG,16_2_PRABIDDHA REANG,M,ST,52.0,IND,5066,7,Independent,0
16_2,TRIPURA,16,TRIPURA EAST,2,KARNA BIJOY JAMATIA,16_2_KARNA BIJOY JAMATIA,M,ST,39.0,AAAP,4871,8,Aam Aadmi Party,0
16_2,TRIPURA,16,TRIPURA EAST,2,FALGUNI TRIPURA,16_2_FALGUNI TRIPURA,M,ST,47.0,CPI(ML)(L),4444,9,Communist Party of India  (Marxist-Leninist)  (Liberation),0
16_2,TRIPURA,16,TRIPURA EAST,2,BASU MOG,16_2_BASU MOG,M,ST,55.0,TPGC,4262,10,Tripura Pragatishil Gramin Congress,0
16_2,TRIPURA,16,TRIPURA EAST,2,SUBARNA MALA DEBBARMA,16_2_SUBARNA MALA DEBBARMA,F,ST,45.0,AMB,4152,11,Amra Bangalee,0
16_2,TRIPURA,16,TRIPURA EAST,2,BIKASH DEBBARMA,16_2_BIKASH DEBBARMA,M,ST,42.0,JMBP,3116,12,Jai Maha Bharath Party,0
16_2,TRIPURA,16,TRIPURA EAST,2,PATAL KANYA JAMATIA,16_2_PATAL KANYA JAMATIA,F,ST,39.0,IND,3004,13,Independent,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,SUKHBIR SINGH JAUNAPURIA,8_12_SUKHBIR SINGH JAUNAPURIA,,,,BJP,548179,1,Bharatiya Janata Party,135311
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,MOHAMMED AZHARUDDIN,8_12_MOHAMMED AZHARUDDIN,M,GEN,51.0,INC,412868,2,Indian National Congress,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,JAGMOHAN MEENA,8_12_JAGMOHAN MEENA,M,ST,57.0,NPEP,14600,3,National Peoples Party,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,MAKKHAN,8_12_MAKKHAN,M,ST,44.0,IND,10515,4,Independent,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,SURESH,8_12_SURESH,M,ST,52.0,BSP,10392,5,Bahujan Samaj Party,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,BABULAL JANGID,8_12_BABULAL JANGID,M,GEN,29.0,IND,7195,6,Independent,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,CHANDAN LAL MEENA,8_12_CHANDAN LAL MEENA,M,ST,57.0,IND,6522,7,Independent,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,RAM PARKASH,8_12_RAM PARKASH,M,SC,50.0,IND,6177,8,Independent,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,None of the Above,8_12_None of the Above,0,0,0.0,NOTA,3664,9,None of the Above,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,GOVIND PRASAD,8_12_GOVIND PRASAD,M,GEN,42.0,IND,3125,10,Independent,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,MUKESH,8_12_MUKESH,M,GEN,41.0,AAAP,2665,11,Aam Aadmi Party,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,VARIS ALI,8_12_VARIS ALI,M,GEN,41.0,AAP,2361,12,awami aamjan party,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,DINESH SAINI,8_12_DINESH SAINI,M,GEN,27.0,JMBP,2205,13,Jai Maha Bharath Party,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,DINESH,8_12_DINESH,M,ST,34.0,AITC,2147,14,All India Trinamool Congress,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,KORI LAL,8_12_KORI LAL,M,GEN,80.0,IND,1924,15,Independent,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,KAMAL KUMAR DHOBI,8_12_KAMAL KUMAR DHOBI,M,SC,50.0,IND,1723,16,Independent,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,SAMPATTI BAI ALIAS SUNITA VERMA,8_12_SAMPATTI BAI ALIAS SUNITA VERMA,F,SC,28.0,IND,1611,17,Independent,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,SIYA RAM,8_12_SIYA RAM,M,GEN,44.0,IND,1104,18,Independent,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,HARI RAM,8_12_HARI RAM,M,GEN,29.0,IND,1045,19,Independent,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,RAM HANS,8_12_RAM HANS,M,ST,59.0,NADP,867,20,Naya Daur Party,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,RAMESH CHAND,8_12_RAMESH CHAND,M,GEN,61.0,LD,751,21,Lok Dal,0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,BHAR SINGH,8_12_BHAR SINGH,M,ST,40.0,SP(I),701,22,Socialist Party (India),0
8_12,RAJASTHAN,8,TONK - SAWAI MADHOPUR,12,BAJARANG LAL,8_12_BAJARANG LAL,M,GEN,52.0,RAHM,699,23,Rashtriya Ahinsa Manch,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,VANAROJA R,33_11_VANAROJA R,F,GEN,55.0,ADMK,500751,1,All India Anna Dravida Munnetra Kazhagam,168606
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,ANNADURAI C N,33_11_ANNADURAI C N,M,GEN,41.0,DMK,332145,2,Dravida Munnetra Kazhagam,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,EDIROLI MANIAN G,33_11_EDIROLI MANIAN G,M,GEN,51.0,PMK,157954,3,Pattali Makkal Katchi,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,SUBRAMANIYAN A,33_11_SUBRAMANIYAN A,M,GEN,55.0,INC,17854,4,Indian National Congress,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,MURUGESAN K,33_11_MURUGESAN K,M,GEN,51.0,IND,10708,5,Independent,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,None of the Above,33_11_None of the Above,0,0,0.0,NOTA,9595,6,None of the Above,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,ARUMUGAM C,33_11_ARUMUGAM C,M,GEN,38.0,SP,6278,7,Samajwadi Party,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,KOTHANDAPANI B,33_11_KOTHANDAPANI B,M,SC,35.0,IND,4688,8,Independent,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,BASKARAN  M R,33_11_BASKARAN  M R,M,SC,49.0,BSP,4328,9,Bahujan Samaj Party,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,SENTHIL S,33_11_SENTHIL S,M,GEN,33.0,IND,3867,10,Independent,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,RAMESH P,33_11_RAMESH P,M,GEN,33.0,IND,2445,11,Independent,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,RAVINDRAN T,33_11_RAVINDRAN T,M,GEN,35.0,TNMC,1999,12,Tamil Nadu Makkal Congress,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,LOGANATHAN P,33_11_LOGANATHAN P,M,SC,36.0,IND,1729,13,Independent,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,ANNADURAI B,33_11_ANNADURAI B,M,SC,46.0,IND,1693,14,Independent,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,ANBALAGAN D,33_11_ANBALAGAN D,M,GEN,38.0,IND,1686,15,Independent,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,MANIKKAVEL M R,33_11_MANIKKAVEL M R,M,GEN,72.0,JD(S),1555,16,Janata Dal  (Secular),0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,KAMARAJ M,33_11_KAMARAJ M,M,SC,44.0,IND,1369,17,Independent,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,MURUGAN P,33_11_MURUGAN P,M,SC,32.0,IND,991,18,Independent,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,ARUMUGAM R,33_11_ARUMUGAM R,M,GEN,35.0,IND,973,19,Independent,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,VAITHIYANATHAN S,33_11_VAITHIYANATHAN S,M,GEN,66.0,IND,931,20,Independent,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,ARULJOTHI A,33_11_ARULJOTHI A,F,GEN,34.0,IND,904,21,Independent,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,ANNADURAI A,33_11_ANNADURAI A,M,GEN,45.0,IND,865,22,Independent,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,ARUNACHALAM P,33_11_ARUNACHALAM P,M,GEN,41.0,IND,736,23,Independent,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,VELMURUGAN A,33_11_VELMURUGAN A,M,GEN,38.0,IND,724,24,Independent,0
33_11,TAMIL NADU,33,TIRUVANNAMALAI,11,PRABAKARAN L,33_11_PRABAKARAN L,M,GEN,33.0,IND,679,25,Independent,0
33_1,TAMIL NADU,33,TIRUVALLUR,1,VENUGOPAL.P.(DR),33_1_VENUGOPAL.P.(DR),M,SC,61.0,ADMK,628499,1,All India Anna Dravida Munnetra Kazhagam,323430
33_1,TAMIL NADU,33,TIRUVALLUR,1,RAVIKUMAR.D,33_1_RAVIKUMAR.D,M,SC,53.0,VCK,305069,2,Viduthalai Chiruthaigal Katchi,0
33_1,TAMIL NADU,33,TIRUVALLUR,1,YUVARAJ.V,33_1_YUVARAJ.V,M,SC,49.0,DMDK,204734,3,Desiya Murpokku Dravida Kazhagam,0
33_1,TAMIL NADU,33,TIRUVALLUR,1,JAYAKUMAR.M,33_1_JAYAKUMAR.M,M,SC,34.0,INC,43960,4,Indian National Congress,0
33_1,TAMIL NADU,33,TIRUVALLUR,1,None of the Above,33_1_None of the Above,0,0,0.0,NOTA,23598,5,None of the Above,0
33_1,TAMIL NADU,33,TIRUVALLUR,1,KANNAN A.S,33_1_KANNAN A.S,M,SC,72.0,CPI,13794,6,Communist Party of India,0
33_1,TAMIL NADU,33,TIRUVALLUR,1,SATHYAMURTHY.C,33_1_SATHYAMURTHY.C,M,SC,34.0,BSP,11137,7,Bahujan Samaj Party,0
33_1,TAMIL NADU,33,TIRUVALLUR,1,BALAMURUGAN.B,33_1_BALAMURUGAN.B,M,SC,38.0,AAAP,8260,8,Aam Aadmi Party,0
33_1,TAMIL NADU,33,TIRUVALLUR,1,VENUGOPAL.P,33_1_VENUGOPAL.P,M,SC,66.0,IND,3085,9,Independent,0
33_1,TAMIL NADU,33,TIRUVALLUR,1,RAVIKUMAR.M,33_1_RAVIKUMAR.M,M,SC,35.0,IND,2966,10,Independent,0
33_1,TAMIL NADU,33,TIRUVALLUR,1,SRINIVASAN.D,33_1_SRINIVASAN.D,M,SC,48.0,SP,2642,11,Samajwadi Party,0
33_1,TAMIL NADU,33,TIRUVALLUR,1,VETRISELVAM.K,33_1_VETRISELVAM.K,M,SC,29.0,IND,2441,12,Independent,0
33_1,TAMIL NADU,33,TIRUVALLUR,1,CHANDRASEKARAN.M,33_1_CHANDRASEKARAN.M,M,SC,65.0,IND,1597,13,Independent,0
33_1,TAMIL NADU,33,TIRUVALLUR,1,DOSS.R,33_1_DOSS.R,M,SC,45.0,IND,1596,14,Independent,0
33_1,TAMIL NADU,33,TIRUVALLUR,1,SURESH KUMAR.S,33_1_SURESH KUMAR.S,M,SC,34.0,IND,1062,15,Independent,0
33_18,TAMIL NADU,33,TIRUPPUR,18,V.SATHYABAMA,33_18_V.SATHYABAMA,F,GEN,42.0,ADMK,442778,1,All India Anna Dravida Munnetra Kazhagam,179315
33_18,TAMIL NADU,33,TIRUPPUR,18,N.DINESHKUMAR,33_18_N.DINESHKUMAR,M,GEN,35.0,DMDK,263463,2,Desiya Murpokku Dravida Kazhagam,0
33_18,TAMIL NADU,33,TIRUPPUR,18,M.SENTHILNATHAN,33_18_M.SENTHILNATHAN,M,GEN,71.0,DMK,205411,3,Dravida Munnetra Kazhagam,0
33_18,TAMIL NADU,33,TIRUPPUR,18,E.V.K.S. ELANGOVAN,33_18_E.V.K.S. ELANGOVAN,M,GEN,65.0,INC,47554,4,Indian National Congress,0
33_18,TAMIL NADU,33,TIRUPPUR,18,K.SUBBARAYAN,33_18_K.SUBBARAYAN,M,GEN,66.0,CPI,33331,5,Communist Party of India,0
33_18,TAMIL NADU,33,TIRUPPUR,18,None of the Above,33_18_None of the Above,0,0,0.0,NOTA,13941,6,None of the Above,0
33_18,TAMIL NADU,33,TIRUPPUR,18,R.R.MURUGAN,33_18_R.R.MURUGAN,M,GEN,47.0,IND,6422,7,Independent,0
33_18,TAMIL NADU,33,TIRUPPUR,18,N.GURUSAMY,33_18_N.GURUSAMY,M,SC,62.0,BSP,4665,8,Bahujan Samaj Party,0
33_18,TAMIL NADU,33,TIRUPPUR,18,P.SELVABOOBATHI,33_18_P.SELVABOOBATHI,M,GEN,25.0,IND,4264,9,Independent,0
33_18,TAMIL NADU,33,TIRUPPUR,18,M.PALANISAMY,33_18_M.PALANISAMY,M,GEN,60.0,IND,4074,10,Independent,0
33_18,TAMIL NADU,33,TIRUPPUR,18,R.CHAKRAVARTHI RAJA GOPALA KRISHNAN,33_18_R.CHAKRAVARTHI RAJA GOPALA KRISHNAN,M,GEN,59.0,AAAP,3087,11,Aam Aadmi Party,0
33_18,TAMIL NADU,33,TIRUPPUR,18,R.GOPALSAMY,33_18_R.GOPALSAMY,M,GEN,39.0,LSP,2167,12,Lok Satta Party,0
33_18,TAMIL NADU,33,TIRUPPUR,18,R.MURUGESAN,33_18_R.MURUGESAN,M,GEN,53.0,MMKA,2010,13,Makkal Manadu Katchi,0
33_18,TAMIL NADU,33,TIRUPPUR,18,M.RAJENDRAN,33_18_M.RAJENDRAN,M,SC,54.0,IND,1991,14,Independent,0
33_18,TAMIL NADU,33,TIRUPPUR,18,K.SENTHILKUMAR,33_18_K.SENTHILKUMAR,M,SC,33.0,IND,1926,15,Independent,0
33_18,TAMIL NADU,33,TIRUPPUR,18,S.K.DINESHKUMAR,33_18_S.K.DINESHKUMAR,M,GEN,27.0,IND,1820,16,Independent,0
33_18,TAMIL NADU,33,TIRUPPUR,18,A.PONNUSAMY,33_18_A.PONNUSAMY,M,GEN,53.0,IND,1193,17,Independent,0
33_18,TAMIL NADU,33,TIRUPPUR,18,R.SATHYABHAMA,33_18_R.SATHYABHAMA,F,GEN,37.0,IND,1193,17,Independent,0
33_18,TAMIL NADU,33,TIRUPPUR,18,PASTOR A.JAMES,33_18_PASTOR A.JAMES,M,GEN,40.0,IND,1153,19,Independent,0
33_18,TAMIL NADU,33,TIRUPPUR,18,T.S.SENTHILKUMAR,33_18_T.S.SENTHILKUMAR,M,GEN,29.0,IND,1151,20,Independent,0
33_18,TAMIL NADU,33,TIRUPPUR,18,R.SATHYABAMA,33_18_R.SATHYABAMA,F,GEN,49.0,IND,1097,21,Independent,0
33_18,TAMIL NADU,33,TIRUPPUR,18,A.MOGHEETH KHAN,33_18_A.MOGHEETH KHAN,M,GEN,27.0,IND,1038,22,Independent,0
33_18,TAMIL NADU,33,TIRUPPUR,18,N.SIVAKUMAR,33_18_N.SIVAKUMAR,M,GEN,34.0,UMK,949,23,Ulzaipali Makkal Katchy,0
33_18,TAMIL NADU,33,TIRUPPUR,18,P.BALASUBRAMANIYAN,33_18_P.BALASUBRAMANIYAN,M,GEN,57.0,IND,916,24,Independent,0
33_18,TAMIL NADU,33,TIRUPPUR,18,J.LAXMI,33_18_J.LAXMI,F,GEN,42.0,CPIM,908,25,Communist Party of India (Marxist-Leninist) Red Star,0
33_18,TAMIL NADU,33,TIRUPPUR,18,R.NANDHAKUMAR,33_18_R.NANDHAKUMAR,M,SC,43.0,IND,900,26,Independent,0
33_18,TAMIL NADU,33,TIRUPPUR,18,A.K.SHEIKDAVOOD,33_18_A.K.SHEIKDAVOOD,M,GEN,50.0,IND,788,27,Independent,0
28_40,ANDHRA PRADESH,28,TIRUPATI,40,VARAPRASAD RAO VELAGAPALLI,28_40_VARAPRASAD RAO VELAGAPALLI,M,SC,61.0,YSRCP,580376,1,Yuvajana Sramika Rythu Congress Party,37425
28_40,ANDHRA PRADESH,28,TIRUPATI,40,KARUMANCHI JAYARAM,28_40_KARUMANCHI JAYARAM,M,SC,54.0,BJP,542951,2,Bharatiya Janata Party,0
28_40,ANDHRA PRADESH,28,TIRUPATI,40,CHINTA MOHAN,28_40_CHINTA MOHAN,M,SC,59.0,INC,33333,3,Indian National Congress,0
28_40,ANDHRA PRADESH,28,TIRUPATI,40,KOTHAPALLI SUBRAMANYAM,28_40_KOTHAPALLI SUBRAMANYAM,M,SC,45.0,CPM,11168,4,Communist Party of India  (Marxist),0
28_40,ANDHRA PRADESH,28,TIRUPATI,40,M SOLMON,28_40_M SOLMON,M,SC,60.0,ARPS,9816,5,Andhra Rastra Praja Samithi,0
28_40,ANDHRA PRADESH,28,TIRUPATI,40,None of the Above,28_40_None of the Above,0,0,0.0,NOTA,8690,6,None of the Above,0
28_40,ANDHRA PRADESH,28,TIRUPATI,40,NEERUGUTTA NAGESWARA,28_40_NEERUGUTTA NAGESWARA,M,SC,26.0,AAAP,7280,7,Aam Aadmi Party,0
28_40,ANDHRA PRADESH,28,TIRUPATI,40,"DR. U RAMACHANDRA, M.B.B.S","28_40_DR. U RAMACHANDRA, M.B.B.S",M,SC,43.0,BSP,6036,8,Bahujan Samaj Party,0
28_40,ANDHRA PRADESH,28,TIRUPATI,40,DEGALA SURYA NARAYANA,28_40_DEGALA SURYA NARAYANA,M,SC,39.0,PPOI,2876,9,Pyramid Party of India,0
28_40,ANDHRA PRADESH,28,TIRUPATI,40,KALAVAPALLI SAHADEVAIAH,28_40_KALAVAPALLI SAHADEVAIAH,M,SC,46.0,IND,2510,10,Independent,0
28_40,ANDHRA PRADESH,28,TIRUPATI,40,NUNE VENGAIAH,28_40_NUNE VENGAIAH,M,SC,56.0,IND,1829,11,Independent,0
28_40,ANDHRA PRADESH,28,TIRUPATI,40,K.S. MUNIRATHNAM,28_40_K.S. MUNIRATHNAM,M,SC,60.0,IND,1696,12,Independent,0
28_40,ANDHRA PRADESH,28,TIRUPATI,40,SONGA RATNAMMA,28_40_SONGA RATNAMMA,F,SC,54.0,IND,1645,13,Independent,0
28_40,ANDHRA PRADESH,28,TIRUPATI,40,KATTAMANCHI PRABHAKAR,28_40_KATTAMANCHI PRABHAKAR,M,SC,46.0,IND,1455,14,Independent,0
28_40,ANDHRA PRADESH,28,TIRUPATI,40,THYDULA SUBBARAMAIAH,28_40_THYDULA SUBBARAMAIAH,M,SC,74.0,IND,1403,15,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,PRABAKARAN.K.R.P,33_38_PRABAKARAN.K.R.P,M,GEN,33.0,ADMK,398139,1,All India Anna Dravida Munnetra Kazhagam,126099
33_38,TAMIL NADU,33,TIRUNELVELI,38,DEVADASA SUNDARAM,33_38_DEVADASA SUNDARAM,M,GEN,73.0,DMK,272040,2,Dravida Munnetra Kazhagam,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,SIVANANENTHAPERUMAL.S.,33_38_SIVANANENTHAPERUMAL.S.,M,GEN,45.0,DMDK,127370,3,Desiya Murpokku Dravida Kazhagam,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,RAMASUBBU.S.S,33_38_RAMASUBBU.S.S,M,GEN,63.0,INC,62863,4,Indian National Congress,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,DHEVANATHAN YADAV.T.,33_38_DHEVANATHAN YADAV.T.,M,GEN,53.0,TNMC,19381,5,Tamil Nadu Makkal Congress,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,SESURAJ.M.P,33_38_SESURAJ.M.P,M,GEN,40.0,AAAP,18353,6,Aam Aadmi Party,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,MOHAMED MUBARAK.V.M.S,33_38_MOHAMED MUBARAK.V.M.S,M,GEN,34.0,SDPI,14877,7,SOCIAL DEMOCRATIC PARTY OF INDIA,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,None of the Above,33_38_None of the Above,0,0,0.0,NOTA,12893,8,None of the Above,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,THEVENDRAN.T.,33_38_THEVENDRAN.T.,M,SC,41.0,BSP,4692,9,Bahujan Samaj Party,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,DEVADOSS.A.R,33_38_DEVADOSS.A.R,M,GEN,47.0,IND,3394,10,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,SELVAGANAPATHY.G,33_38_SELVAGANAPATHY.G,M,GEN,32.0,IND,3233,11,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,DHANARAJ.R.,33_38_DHANARAJ.R.,M,GEN,63.0,ICSP,3062,12,Indian Christian Secular Party,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,MOHAN.T,33_38_MOHAN.T,M,GEN,29.0,IND,2518,13,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,LAKSHMANAN @ LAKKAN.A,33_38_LAKSHMANAN @ LAKKAN.A,M,GEN,43.0,IND,1850,14,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,PATHMANABAN.K,33_38_PATHMANABAN.K,M,GEN,38.0,IND,1823,15,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,SUBRAMANIAN @ S.S.S.MANI.S,33_38_SUBRAMANIAN @ S.S.S.MANI.S,M,GEN,38.0,IND,1751,16,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,RAJI YADAV,33_38_RAJI YADAV,M,GEN,54.0,IND,1579,17,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,GERMANUS.S,33_38_GERMANUS.S,M,GEN,69.0,IND,1446,18,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,RAJAMARAVAN @ MANICKAVASAGAM.S,33_38_RAJAMARAVAN @ MANICKAVASAGAM.S,M,GEN,31.0,IND,1391,19,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,VEILUMUTHUKUMAR.P,33_38_VEILUMUTHUKUMAR.P,M,GEN,32.0,IND,1387,20,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,SURESH KUMAR.S,33_38_SURESH KUMAR.S,M,SC,31.0,IND,1281,21,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,DR.GANESAN.M,33_38_DR.GANESAN.M,M,GEN,61.0,IND,1262,22,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,SUBRAMANIAN.K,33_38_SUBRAMANIAN.K,M,GEN,62.0,IND,1196,23,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,MURUGAN.S,33_38_MURUGAN.S,M,GEN,36.0,IND,1159,24,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,VENKATESH.A,33_38_VENKATESH.A,M,GEN,32.0,IND,1052,25,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,RAJESHKANNAN,33_38_RAJESHKANNAN,M,GEN,42.0,IND,947,26,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,SARAVANAN.P,33_38_SARAVANAN.P,M,GEN,34.0,IND,740,27,Independent,0
33_38,TAMIL NADU,33,TIRUNELVELI,38,ELIZABETH.D,33_38_ELIZABETH.D,F,GEN,58.0,IND,651,28,Independent,0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,KUMAR.P,33_24_KUMAR.P,M,GEN,42.0,ADMK,458478,1,All India Anna Dravida Munnetra Kazhagam,150476
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,ANBHALAGAN.MU,33_24_ANBHALAGAN.MU,M,GEN,58.0,DMK,308002,2,Dravida Munnetra Kazhagam,0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,VIJAYKUMAR.AMG,33_24_VIJAYKUMAR.AMG,M,GEN,47.0,DMDK,94785,3,Desiya Murpokku Dravida Kazhagam,0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,SARUBALA  R THONDAIMAN,33_24_SARUBALA  R THONDAIMAN,F,GEN,55.0,INC,51537,4,Indian National Congress,0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,None of the Above,33_24_None of the Above,0,0,0.0,NOTA,22848,5,None of the Above,0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,SRIDHAR.S,33_24_SRIDHAR.S,M,GEN,55.0,CPM,17039,6,Communist Party of India  (Marxist),0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,RAVI.P,33_24_RAVI.P,M,GEN,59.0,AAAP,4885,7,Aam Aadmi Party,0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,KUMAR.P,33_24_KUMAR.P,M,GEN,42.0,IND,4077,8,Independent,0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,ARUNACHALAM.A,33_24_ARUNACHALAM.A,M,GEN,40.0,IND,3239,9,Independent,0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,SHADHICK BATCHA.A,33_24_SHADHICK BATCHA.A,M,GEN,42.0,IND,3083,10,Independent,0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,ESWARAN.J,33_24_ESWARAN.J,M,GEN,31.0,IND,2484,11,Independent,0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,SRIDEVI.S,33_24_SRIDEVI.S,F,GEN,38.0,IND,2348,12,Independent,0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,NATARAJAN.S,33_24_NATARAJAN.S,M,SC,63.0,BSP,1710,13,Bahujan Samaj Party,0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,ASAITHAMBI.PALA,33_24_ASAITHAMBI.PALA,M,SC,42.0,CPI(ML)(L),1425,14,Communist Party of India  (Marxist-Leninist)  (Liberation),0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,RAGAVAN. R,33_24_RAGAVAN. R,M,GEN,56.0,IND,1283,15,Independent,0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,LARANCE.Y,33_24_LARANCE.Y,M,GEN,39.0,IND,1198,16,Independent,0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,DINESHKUMAR.G,33_24_DINESHKUMAR.G,M,GEN,27.0,IND,1119,17,Independent,0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,JOTHI.P,33_24_JOTHI.P,F,GEN,47.0,SP,1003,18,Samajwadi Party,0
33_24,TAMIL NADU,33,TIRUCHIRAPPALLI,24,SUNDARRAJ.S,33_24_SUNDARRAJ.S,M,GEN,55.0,IND,784,19,Independent,0
